Dk,DE,Ck,CE,Uk,UE
,,,,128.1687,-323.104646
,,,,128.4632,-316.384024
,,,,128.5759,-313.808078
,,,,128.8721,-307.027167
,,,,128.983,-304.484316
,,,,129.281,-297.640574
,,,,129.39,-295.133381
,,,,129.6899,-288.224245
,,,,129.7971,-285.750677
,,,,130.0989,-278.775867
,,,,130.2042,-276.338498
,,,,130.5078,-269.30006
,,,,130.6112,-266.899168
,,,,130.9168,-259.792189
,,,,131.0182,-257.430378
,,,,131.3258,-250.254567
,,,,131.4253,-247.929791
,,,,131.7348,-240.687196
,,,,131.8322,-238.404419
,,,,132.1438,-231.090074
,,,,132.2392,-228.847249
,,,,132.5529,-221.460844
,,,,132.6462,-219.260619
,,,,132.962,-211.80185
,,,,133.0531,-209.646895
,,,,133.3711,-202.113091
,,,,133.46,-200.003726
,,,,133.7802,-192.394568
,,,,133.8669,-190.331112
,,,,134.1893,-182.646279
,,,,134.2737,-180.63144
,,,,134.5985,-172.865832
,,,,134.6805,-170.902337
,,,,135.0077,-163.055606
,,,,135.0873,-161.143803
,,,,135.417,-153.213192
,,,,135.494,-151.358247
,,,,135.8263,-143.340984
,,,,135.9007,-141.543275
,,,,136.2357,-133.436559
,,,,136.3074,-131.698887
,,,,136.6451,-123.502326
,,,,136.714,-121.827513
,,,,137.0545,-113.538284
,,,,137.1205,-111.929176
,,,,137.464,-103.54199
,,,,137.527,-102.001451
,,,,137.8736,-93.51342
,,,,137.9334,-92.046792
,,,,138.2833,-83.452553
,,,,138.3397,-82.06522
,,,,138.6931,-73.359368
,,,,138.7459,-72.056756
,,,,139.103,-63.233842
,,,,139.152,-62.021424
,,,,139.5131,-53.073472
,,,,139.5579,-51.961725
,,,,139.9234,-42.878215
,,,,139.9636,-41.877703
,,,,140.334,-32.645532
,,,,140.369,-31.771899
,,,,140.745,-22.372852
,,,,140.774,-21.646881
,,,,141.1569,-12.047536
,,,,141.1781,-11.515288
,,,,141.5717,-1.619032
,,,,141.5793,-1.427675
